pt_GeV,eta,phi_rad,m_GeV
0.11719371,0.36233196,0.8678863,0.018333336
0.011210185,0.9064041,0.17663929,0.14712568
0.053785726,0.6526028,0.45660132,0.066091195
0.07967936,0.35547066,0.7478837,0.02937824
0.0095189605,0.91087765,0.2249526,0.12353208
0.092144474,0.47044736,0.59850883,0.073589794
0.01996964,0.8762634,0.21443056,0.1140529
0.018771471,0.8689774,0.30881035,0.070394605
0.014992226,0.8613777,0.32887372,0.11435514
0.10365243,0.39627287,0.7711841,0.028739257
0.005095864,0.9560053,0.14184178,0.059669714
0.020293267,0.803472,0.26372302,0.24946465
0.05125039,0.62660295,0.47944236,0.070498206
0.0058331904,0.9557668,0.14899407,0.07034056
0.087788,0.3445855,0.78500026,0.023709552
0.018532718,0.82173884,0.247908,0.17274153
0.0130099915,0.8946255,0.21083818,0.16593009
0.01550089,0.87006986,0.24960078,0.08260325
0.025954429,0.7910867,0.34177548,0.078566514
0.008793212,0.92110866,0.1822517,0.07787567
0.008258642,0.9139327,0.2202061,0.106168725
0.089800216,0.32480273,0.8460243,0.015485128
0.0077657667,0.9389187,0.1839351,0.08451791
0.0439617,0.7392923,0.41392058,0.0648116
0.09709441,0.45044735,0.6298756,0.05365114
0.007772839,0.94001424,0.17120431,0.09430874
0.091043636,0.47025713,0.6186195,0.07480801
0.01698371,0.8694126,0.24116096,0.100018434
0.0102046225,0.89991736,0.20751038,0.09782463
0.011149984,0.90430576,0.18444118,0.15898572
0.0067972806,0.95200646,0.16472667,0.10139716
0.013112297,0.9010014,0.23516665,0.13084663
0.010602659,0.90011036,0.16648015,0.14611052
0.06518801,0.4031061,0.6190786,0.04255445
0.0055972636,0.9489401,0.15284729,0.071479656
0.0105249835,0.9095125,0.2096317,0.08126777
0.111298874,0.5275735,0.72223926,0.05081581
0.025013871,0.7900882,0.25785184,0.4096549
0.05615775,0.2816829,0.9906101,0.00050162233
0.09722332,0.35672417,0.8215818,0.02315107
0.00814442,0.9059131,0.16136676,0.10501408
0.05977869,0.33338532,0.88946605,0.007856149
0.022055738,0.80884796,0.21519504,0.34702358
0.019381354,0.86512935,0.28301463,0.07472786
0.03468559,0.7746813,0.35739905,0.07929599
0.030747265,0.814447,0.2742172,0.1249178
0.01999767,0.8593182,0.24639453,0.29987016
0.08930042,0.3988575,0.64696014,0.04262721
0.0059882323,0.95447177,0.15770711,0.0865281
0.050567165,0.7228152,0.47221467,0.07879814
0.007991627,0.9384,0.15393378,0.115945674
0.017803555,0.8706498,0.25147998,0.13386159
0.0216669,0.79696995,0.23840457,0.2812537
0.05598476,0.5640826,0.5061145,0.06859883
0.03547326,0.7787374,0.35141823,0.088792086
0.018038364,0.8959861,0.22151965,0.10718464
0.010634255,0.9275389,0.16640614,0.14977159
0.017150035,0.8176181,0.23400876,0.21955732
0.008837142,0.9303947,0.16759214,0.14113349
0.021680145,0.8101739,0.2844573,0.21298222
0.018417312,0.8438505,0.25386533,0.10035897
0.01413629,0.90022206,0.2015635,0.14682987
0.008473088,0.92528045,0.18142977,0.09483813
0.08294013,0.3828828,0.767352,0.032051705
0.10321139,0.50864995,0.6271569,0.058987394
0.08439078,0.64768475,0.6052817,0.054863214
0.08702245,0.34230432,0.80709386,0.016304376
0.02158515,0.83741266,0.260984,0.08742461
0.0144824665,0.87677085,0.23706745,0.170415
0.0077938884,0.9324352,0.18479155,0.07074993
0.012957073,0.9030142,0.19471505,0.1548445
0.018819831,0.7881889,0.25378585,0.20619655
0.027667588,0.81667346,0.2505085,0.28929025
0.012897324,0.9014942,0.22733247,0.17936587
0.01358125,0.8743768,0.24931327,0.07582262
0.07962078,0.5041878,0.5702887,0.06834327
0.12002912,0.3640509,0.8786429,0.012779662
0.0089850975,0.9204395,0.19272596,0.06757734
0.012735441,0.8988074,0.21605304,0.108783595
0.021413796,0.8628296,0.34880152,0.06711196
0.034635108,0.7959718,0.30018845,0.23076811
0.068626724,0.31982726,0.8613553,0.009949243
0.09018368,0.31776637,0.9051264,0.0074871015
0.013482107,0.8697695,0.24163435,0.1591266
